ch,detector,run83,run84,run85,run86,run87,run88,run89,run90,run91,run92,run93,total
0,GD91A,0.013,0.049,0.058,0.062,0.057,0.046,0.010,0.054,0.061,0.052,0.022,0.484
1,GD35B,0.038,0.063,0.075,0.081,0.074,0.059,0.013,0.070,0.078,0.067,0.029,0.646
2,GD02B,0.029,0.049,0.058,0.062,0.057,0.046,0.010,0.054,0.060,0.052,0.022,0.499
3,GD00B,0.014,0.026,0.065,0.069,0.063,0.051,0.011,0.060,0.067,0.058,0.025,0.509
4,GD61A,0.034,0.057,0.068,0.073,0.066,0.053,0.012,0.063,0.071,0.061,0.026,0.583
5,GD89B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,GD02D,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,GD91C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,GD02A,0.011,0.042,0.051,0.054,0.050,0.040,0.009,0.047,0.053,0.045,0.019,0.420
12,GD32B,0.015,0.056,0.066,0.071,0.065,0.052,0.012,0.062,0.069,0.059,0.025,0.552
13,GD32A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,GD32C,0.015,0.058,0.069,0.074,0.068,0.054,0.012,0.064,0.072,0.062,0.026,0.573
15,GD89C,0.012,0.000,0.055,0.059,0.054,0.043,0.010,0.051,0.057,0.049,0.021,0.412
16,GD61C,0.013,0.049,0.059,0.063,0.058,0.046,0.010,0.054,0.061,0.053,0.022,0.489
17,GD76B,0.000,0.030,0.036,0.038,0.035,0.028,0.006,0.033,0.037,0.032,0.014,0.288
18,GD00C,0.017,0.063,0.076,0.081,0.074,0.059,0.013,0.070,0.079,0.068,0.029,0.629
19,GD35C,0.030,0.049,0.059,0.063,0.058,0.046,0.010,0.054,0.061,0.053,0.022,0.506
20,GD76C,0.017,0.000,0.077,0.082,0.057,0.060,0.013,0.071,0.080,0.068,0.029,0.554
21,GD89D,0.025,0.041,0.049,0.035,0.048,0.038,0.008,0.045,0.051,0.044,0.019,0.403
22,GD00D,0.038,0.063,0.075,0.081,0.074,0.059,0.013,0.070,0.079,0.067,0.029,0.649
23,GD79C,0.038,0.063,0.075,0.081,0.074,0.059,0.013,0.070,0.079,0.067,0.029,0.648
24,GD35A,0.036,0.060,0.071,0.077,0.070,0.056,0.012,0.066,0.074,0.064,0.027,0.613
25,GD91B,0.031,0.026,0.047,0.054,0.050,0.009,0.009,0.056,0.062,0.054,0.023,0.420
26,GD61B,0.035,0.058,0.070,0.075,0.068,0.055,0.012,0.065,0.073,0.062,0.027,0.599
30,GD00A,0.023,0.038,0.046,0.049,0.045,0.036,0.008,0.043,0.048,0.041,0.018,0.396
31,GD02C,0.037,0.061,0.073,0.079,0.072,0.057,0.013,0.068,0.076,0.065,0.028,0.629
32,GD79B,0.015,0.000,0.000,0.000,0.000,0.000,0.010,0.063,0.070,0.061,0.026,0.246
33,GD91D,0.014,0.026,0.050,0.058,0.053,0.050,0.011,0.060,0.067,0.057,0.024,0.472
34,GD32D,0.034,0.056,0.067,0.072,0.065,0.052,0.012,0.062,0.070,0.060,0.025,0.575
35,GD89A,0.025,0.041,0.049,0.052,0.048,0.038,0.008,0.045,0.051,0.043,0.019,0.418